Id	Kanji	Meaning	Onyomi	Kunyomi	PageNo
1	日	SUN ・ DAY ・ JAPAN	ニチ ・ ジツ	ひ ・ -び ・ -か	33
2	一	ONE	イチ ・ イツ	ひと- ・ ひと.つ	33
3	二	TWO	ニ	ふた ・ ふた.つ	33
4	三	THREE	サン	み ・ み.つ ・ みっ.つ	33
5	十	TEN	ジュウ ・ ジッ-	とお ・ と	34
6	四	FOUR	シ	よ ・ よ.つ ・ よっ.つ ・ よん	34
7	五	FIVE	ゴ	いつ ・ いつ.つ	34
8	六	SIX	ロク	む ・ む.つ ・ むっ.つ ・ むい	34
9	七	SEVEN	シチ	なな ・ なな.つ ・ なの	35
10	八	EIGHT	ハチ	や ・ や.つ ・ やっ.つ ・ よう	35
11	九	NINE	キュウ ・ ク	ここの ・ ここの.つ	35
12	丸	ROUND	ガン	まる ・ まる.い ・ まる.める	35
13	円	CIRCLE ・ YEN	エン	まる.い ・ まる	36
14	○	ZERO ・ CIRCLE MARK	レイ	ぜろ ・ まる	36
15	人	HUMAN BEING	ジン ・ ニン	ひと	36
16	百	HUNDRED	ヒャク		36
17	千	THOUSAND	セン	ち	37
18	万	TEN THOUSAND	マン ・ バン		37
19	口	MOUTH	コウ ・ ク	くち	37
20	田	RICE FIELD	デン	た	37
21	目	EYE ・ ITEM	モク ・ ボク	め ・ -め ・ ま-	38
22	川	RIVER	セン	かわ	38
23	月	MOON ・ MONTH	ゲツ ・ ガツ	つき	38
24	明	BRIGHT ・ CLEAR	メイ ・ ミョウ	あ.かり ・ あか.るい ・ あか.るむ ・ あか.らむ ・ あき.らか ・ あ.ける ・ -あ.け ・ あ.く ・ あ.くる ・ あ.かす	38
25	曜	DAY OF THE WEEK	ヨウ		39
26	火	FIRE	カ	ひ ・ -び ・ ほ-	39
27	水	WATER	スイ	みず ・ みず-	39
28	木	TREE ・ WOOD	モク ・  ボク	き ・ こ-	39
29	金	METAL ・ GOLD ・ MONEY	キン ・ コン	かね ・ かな- ・ -がね	40
30	土	SOIL	ド ・ ト	つち	40
31	本	BASIS ・ BOOK ・ THIS	ホン	もと	40
32	東	EAST	トウ	ひがし	40
33	大	BIG ・ UNIVERSITY	ダイ ・ タイ	おお- ・ おお.きい ・ おお.いに	41
34	小	SMALL	ショウ	ちい.さい ・ こ- ・ お-	41
35	中	MIDDLE ・ IN ・ CHINA	チュウ ・ ジュウ	なか	41
36	生	LIFE ・ BE BORN ・ STUDENT	セイ ・ ショウ	い.きる ・ い.かす ・ い.ける ・ う.まれる ・ う.まれ ・ うまれ ・ う.む ・ お.う ・ は.える ・ は.やす ・ き ・ なま ・ なま-	41
37	山	MOUNTAIN	サン	やま	42
38	出	GO OUT ・ PUT OUT	シュツ ・ スイ	で.る ・ -で ・ だ.す ・ -だ.す	42
39	入	ENTER ・ PUT IN	ニュウ	い.る ・ -い.る ・ -い.り ・ い.れる ・ -い.れ ・ はい.る	42
40	下	DOWN	カ ・ ゲ	した ・ しも ・ もと ・ さ.げる ・ さ.がる ・ くだ.る ・ くだ.り ・ くだ.す ・ -くだ.す ・ くだ.さる ・ お.ろす ・ お.りる	42
41	上	UP	ジョウ ・ ショウ	うえ ・ -うえ ・ うわ- ・ かみ ・ あ.げる ・ -あ.げる ・ あ.がる ・ -あ.がる ・ あ.がり ・ -あ.がり ・ のぼ.る ・ のぼ.り ・ のぼ.せる ・ のぼ.す ・	43
42	止	STOP	シ	と.まる ・ -ど.まり ・ と.める ・ -と.める ・ -ど.め ・ や.める* ・ や.む*	43
43	正	RIGHT	セイ ・ ショウ	ただ.しい ・ ただ.す ・ まさ ・ まさ.に	43
44	足	FOOT ・ SUFFICE	ソク	あし ・ た.りる ・ た.る ・ た.す	43
45	定	FIX	テイ ・ ジョウ	さだ.める ・ さだ.まる ・ さだ.か	44
46	手	HAND ・ PERFORMER OF AN ACTION	シュ	て ・ て- ・ -て ・ た-	44
47	用	EMPLOY ・ THINGS TO DO	ヨウ	もち.いる	44
48	無	WITHOUT ・ NOTHING	ム ・ ブ	な.い	44
49	不	NOT	フ ・ ブ		45
50	回	TURN ROUND ・ TIME	カイ ・ エ	まわ.る ・ -まわ.る ・ -まわ.り ・ まわ.す ・ -まわ.す ・ まわ.し- ・ -まわ.し	45
51	言	SAY ・ SPEECH	ゲン ・ ゴン	い.う ・ こと	45
52	舌	TONGUE	ゼツ	した	45
53	話	SPEAK	ワ	はな.す ・ はなし	46
54	活	ACTIVE ・ LIVE	カツ		46
55	行	GO ・ ACT ・ LINE	コウ ・ ギョウ ・ アン	い.く ・ ゆ.く ・ -ゆ.き ・ -ゆき ・ -い.き ・ -いき ・ おこな.う	46
56	心	HEART	シン	こころ ・ -ごころ	46
57	耳	EAR	ジ	みみ	47
58	又	AGAIN ・ OR		また ・ また- ・ また.の-	47
59	取	TAKE	シュ	と.る ・ と.り ・ と.り-とり- ・ -ど.り	47
60	身	BODY ・ ONE'S PERSON ・ SOCIAL POSITION	シン	み	47
61	休	REST	キュウ	やす.む ・ やす.まる ・ やす.める	48
62	体	BODY ・ FORM	タイ ・ テイ	からだ	48
63	信	BELIEVE ・ MESSAGE	シン		48
64	付	ATTACH	フ	つ.ける ・ -つ.ける ・ -ず.ける ・ つ.け ・ つ.け- ・ -つ.け ・ -ず.け ・ -ずけ ・ つ.く ・ -ず.く ・ つ.き ・ -つ.き ・ -つき ・ -ず.き ・ -ずき	48
65	受	RECEIVE	ジュ	う.ける ・ -う.け ・ う.かる	49
66	以	TO THE...OF ・ BY MEANS OF	イ	もっ.て*	49
67	立	STAND ・ ESTABLISH	リツ ・ リュウ	た.つ ・ -た.つ ・ た.ち- ・ た.てる ・ -た.てる ・ た.て- ・ たて- ・ -た.て ・ -だ.て ・ -だ.てる	49
68	部	SECTION	ブ		49
69	倍	TIMES ・ DOUBLE	バイ		50
70	成	BECOME ・ ACHIEVE	セイ ・ ジョウ	な.る ・ な.す ・ -な.す	50
71	代	REPLACE ・ GENERATION ・ CHARGE	ダイ ・ タイ	か.わる ・ か.わり ・ -が.わり ・ か.える ・ よ ・ しろ	50
72	王	KING	オウ		50
73	玉	GEM	ギョク	たま ・ たま- ・ -だま	51
74	宝	TREASURE	ホウ	たから	51
75	国	COUNTRY	コク	くに	51
76	白	WHITE	ハク ・ ビャク	しろ ・ しら- ・ しろ.い	51
77	皇	EMPEROR	コウ ・ オウ		52
78	全	WHOLE	ゼン	まった.く ・ すべ.て	52
79	書	WRITE ・ BOOK	ショ	か.く ・ -が.き ・ -がき	52
80	事	AFFAIR ・ ABSTRACT THING	ジ ・ ズ	こと	52
81	自	SELF	ジ ・ シ	みずか.ら ・ おの.ずから*	53
82	貝	SHELLFISH		かい	53
83	見	SEE	ケン	み.る ・ み.える ・ み.せる	53
84	力	POWER	リョク ・ リキ	ちから	53
85	刀	SWORD	トウ	かたな	54
86	切	CUT	セツ ・ サイ	き.る ・ -き.る ・ き.り ・ -き.り ・ -ぎ.り ・ き.れる ・ -き.れる ・ き.れ ・ -き.れ ・ -ぎ.れ	54
87	刃	BLADE	ジン	は	54
88	分	DIVIDE ・ PART ・ MINUTE	ブン ・ フン ・ ブ	わ.ける ・ わ.け ・ わ.かれる ・ わ.かる ・ わ.かつ	54
89	公	PUBLIC	コウ	おおやけ	55
90	別	SEPARATE ・ ANOTHER	ベツ	わか.れる	55
91	長	LONG ・ CHIEF	チョウ	なが.い	55
92	男	MAN	ダン ・ ナン	おとこ	55
93	女	WOMAN	ジョ ・ ニョ ・ ニョウ	おんな ・ め	56
94	子	CHILD ・ NOUN SUFFIX	シ ・ ス	こ ・ -こ ・ -.っこ	56
